name,base_price,average_uom
Honeycrisp Apple,1.88,lb
Organic Honeycrisp Apple,2.15,lb
Gala Apple,1.37,lb
Granny Smith Apple,1.21,lb
Pink Lady (Cripps) Apple,1.24,lb
Stemilt Pink Lady Apples,5.99,
Royal Gala Apple,1.28,lb
Honeycrisp Apple Bag,5.99,
Fuji Apple,1.38,lb
Red Delicious Apple,1.18,lb
Bagged Organic Gala Apples,5.99,
SugarBee Apples,3.99,
SnapDragon Apples,5.99,
Cosmic Crisp Apples,2.99,
"Stemilt Apples, Organic, Fuji",6.99,
Fuji Apple Bag,5.99,
Envy Apple,1.61,lb
Cal-Organic Farms Petite Carrots,3.89,
Organic Bananas,0.36,lb
Red Cherries,8.99,
Strawberries Package,4.99,
Organic Granny Smith Apple Bag,6.99,
Halos California Clementines,6.99,
McIntosh Apple,1.03,lb
"Honeycrisp Apples, Bag",8.99,
Bagged Lucy Rose Apples,7.99,
Red Mango,2.99,
Cotton Candy Grapes,6.99,
Grimmway Farms Carrot Stixx,2.99,
Sweetango Apple,7.99,
"United Exports Blueberries, Fresh, Jumbo",8.99,
Sumo Mandarin,3.58,lb
Banana,0.26,lb
Hass Avocado Bag,5.99,
Apple,2.99,
Hass Avocado,2.5,
Navel Orange,1.71,lb
WildTwist Apple,5.99,
Organic Mandarin Clementine,6.99,
Lucy Glo Apples in Mesh Bag,7.99,
Cara Cara Orange,1.63,lb
Red Seedless Grapes,8.99,
Red Seedless Grapes,3.89,
The Fresh Market Small Pineapple Chunks Cups,7.49,
Clementine,0.4,lb
Pomegranate,2.99,
Limes,0.75,
Organic Green Seedless Grapes,5.99,
Lemon,0.99,
"Wonderful Naturally Seedless, Non-GMO",6.99,
Organic Blackberries,5.99,
Rome Beauty Apple,0.8,lb
Black River Pressed Apple Juice,6.99,
Organic Navel Orange,2.09,lb
Mandarin Clementine,9.99,
"Fowler Farms Apple Cider, Pure Honeycrisp",5.99,
Mini Seedless Watermelon,6.99,
Bosc Pear,1.06,lb
Organic Strawberries,7.99,
